,product,variable,value,factor,product,variable,value,factor
376,"Land transport services and transport services via pipelines, excluding rail transport",Intermediate consumption at purchaser's prices,1.698,Ratio of direct to total,"Land transport services and transport services via pipelines, excluding rail transport",Intermediate consumption at purchaser's prices,0.906,total impact
377,Water transport services,Intermediate consumption at purchaser's prices,1.482,Ratio of direct to total,Water transport services,Intermediate consumption at purchaser's prices,0.846,total impact
378,Air transport services,Intermediate consumption at purchaser's prices,1.529,Ratio of direct to total,Air transport services,Intermediate consumption at purchaser's prices,1.23,total impact
379,Warehousing and support services for transportation,Intermediate consumption at purchaser's prices,1.86,Ratio of direct to total,Warehousing and support services for transportation,Intermediate consumption at purchaser's prices,1.007,total impact
380,Postal and courier services,Intermediate consumption at purchaser's prices,1.714,Ratio of direct to total,Postal and courier services,Intermediate consumption at purchaser's prices,0.767,total impact
381,Accommodation services,Intermediate consumption at purchaser's prices,1.928,Ratio of direct to total,Accommodation services,Intermediate consumption at purchaser's prices,0.852,total impact
382,Food and beverage serving services,Intermediate consumption at purchaser's prices,1.872,Ratio of direct to total,Food and beverage serving services,Intermediate consumption at purchaser's prices,0.879,total impact
383,Publishing services,Intermediate consumption at purchaser's prices,1.734,Ratio of direct to total,Publishing services,Intermediate consumption at purchaser's prices,0.803,total impact
384,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Intermediate consumption at purchaser's prices,1.647,Ratio of direct to total,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Intermediate consumption at purchaser's prices,0.91,total impact
385,Telecommunications services,Intermediate consumption at purchaser's prices,1.524,Ratio of direct to total,Telecommunications services,Intermediate consumption at purchaser's prices,0.566,total impact
386,"Computer programming, consultancy and related services",Intermediate consumption at purchaser's prices,1.596,Ratio of direct to total,"Computer programming, consultancy and related services",Intermediate consumption at purchaser's prices,0.718,total impact
387,Information services,Intermediate consumption at purchaser's prices,1.673,Ratio of direct to total,Information services,Intermediate consumption at purchaser's prices,0.703,total impact
388,"Financial services, except insurance and pension funding",Intermediate consumption at purchaser's prices,1.556,Ratio of direct to total,"Financial services, except insurance and pension funding",Intermediate consumption at purchaser's prices,0.774,total impact
389,"Insurance, reinsurance and pension funding services, except compulsory social security",Intermediate consumption at purchaser's prices,1.635,Ratio of direct to total,"Insurance, reinsurance and pension funding services, except compulsory social security",Intermediate consumption at purchaser's prices,1.032,total impact
390,Services auxiliary to financial services and insurance services,Intermediate consumption at purchaser's prices,1.632,Ratio of direct to total,Services auxiliary to financial services and insurance services,Intermediate consumption at purchaser's prices,0.714,total impact
391,Real estate services on a fee or contract basis,Intermediate consumption at purchaser's prices,1.752,Ratio of direct to total,Real estate services on a fee or contract basis,Intermediate consumption at purchaser's prices,0.638,total impact
392,Owner-Occupiers' Housing Services,Intermediate consumption at purchaser's prices,1.964,Ratio of direct to total,Owner-Occupiers' Housing Services,Intermediate consumption at purchaser's prices,0.261,total impact
393,"Real estate services, excluding on a fee or contract basis and imputed rent",Intermediate consumption at purchaser's prices,1.796,Ratio of direct to total,"Real estate services, excluding on a fee or contract basis and imputed rent",Intermediate consumption at purchaser's prices,0.695,total impact
394,Legal services,Intermediate consumption at purchaser's prices,1.643,Ratio of direct to total,Legal services,Intermediate consumption at purchaser's prices,0.39,total impact
395,"Accounting, bookkeeping and auditing services; tax consulting services",Intermediate consumption at purchaser's prices,1.566,Ratio of direct to total,"Accounting, bookkeeping and auditing services; tax consulting services",Intermediate consumption at purchaser's prices,0.316,total impact
396,Services of head offices; management consulting services,Intermediate consumption at purchaser's prices,1.616,Ratio of direct to total,Services of head offices; management consulting services,Intermediate consumption at purchaser's prices,0.781,total impact
397,Architectural and engineering services; technical testing and analysis services,Intermediate consumption at purchaser's prices,1.768,Ratio of direct to total,Architectural and engineering services; technical testing and analysis services,Intermediate consumption at purchaser's prices,0.986,total impact
398,Scientific research and development services,Intermediate consumption at purchaser's prices,1.697,Ratio of direct to total,Scientific research and development services,Intermediate consumption at purchaser's prices,0.851,total impact
399,Advertising and market research services,Intermediate consumption at purchaser's prices,1.638,Ratio of direct to total,Advertising and market research services,Intermediate consumption at purchaser's prices,0.731,total impact
400,"Other professional, scientific and technical services",Intermediate consumption at purchaser's prices,1.799,Ratio of direct to total,"Other professional, scientific and technical services",Intermediate consumption at purchaser's prices,1.013,total impact
401,Veterinary services,Intermediate consumption at purchaser's prices,1.717,Ratio of direct to total,Veterinary services,Intermediate consumption at purchaser's prices,0.412,total impact
402,Rental and leasing services,Intermediate consumption at purchaser's prices,1.706,Ratio of direct to total,Rental and leasing services,Intermediate consumption at purchaser's prices,0.595,total impact
403,Employment services,Intermediate consumption at purchaser's prices,1.556,Ratio of direct to total,Employment services,Intermediate consumption at purchaser's prices,0.572,total impact
404,"Travel agency, tour operator and other reservation services and related services",Intermediate consumption at purchaser's prices,1.951,Ratio of direct to total,"Travel agency, tour operator and other reservation services and related services",Intermediate consumption at purchaser's prices,1.153,total impact
405,Security and investigation services,Intermediate consumption at purchaser's prices,1.694,Ratio of direct to total,Security and investigation services,Intermediate consumption at purchaser's prices,0.686,total impact
406,Services to buildings and landscape,Intermediate consumption at purchaser's prices,1.885,Ratio of direct to total,Services to buildings and landscape,Intermediate consumption at purchaser's prices,0.976,total impact
407,"Office administrative, office support and other business support services",Intermediate consumption at purchaser's prices,1.595,Ratio of direct to total,"Office administrative, office support and other business support services",Intermediate consumption at purchaser's prices,0.795,total impact
